Species,family ,status ,life_form
acaena_echinata,Rosaceae,Native,Hemicryptophyte
amphibromus_pithogastrus,Poaceae,Native,Hemicryptophyte
anthosachne_scabra,Poaceae,Native,Hemicryptophyte
arthropodium_sp_3,Asparagaceae,Native,Geophyte
arthropodium_strictum,Asparagaceae,Native,Geophyte
asperula_conferta,Rubiaceae ,Native,Chamaephyte
austrostipa_mollis,Poaceae,Native,Hemicryptophyte
austrostipa_oligostachya,Poaceae,Native,Hemicryptophyte
austrostipa_scabra,Poaceae,Native,Hemicryptophyte
bossiaea_prostrata,Fabaceae,Native,Chamaephyte
brunonia_australis,Brunoniaceae,Native,Hemicryptophyte
bulbine_bulbosa,Asphodelaceae,Native,Geophyte
burchardia_umbellata,Colchicaceae,Native,Geophyte
caesia_calliantha,Asphodelaceae,Native,Geophyte
calocephalus_citreus,Asteraceae,Native,Hemicryptophyte
centrolepis_strigosa,Restionaceae,Native,Therophyte
chrysocephalum_apiculatum,Asteraceae,Native,Hemicryptophyte
comesperma_polygaloides,Polygalaceae,Native,Chamaephyte
convolvulus_angustissimus,Convolvulaceae ,Native,Hemicryptophyte
craspedia_paludicola,Asteraceae,Native,Hemicryptophyte
dianella_longifolia_var_grandis,Asphodelaceae,Native,Hemicryptophyte
dianella_revoluta,Asphodelaceae,Native,Chamaephyte
dichelachne_crinita,Poaceae,Native,Hemicryptophyte
diuris_behrii,Orchidaceae,Native,Geophyte
drosera_aberrans,Droseraceae,Native,Geophyte
drosera_glanduligera,Droseraceae,Native,Geophyte
drosera_hookeri,Droseraceae,Native,Geophyte
eryngium_ovinum,Apiaceae,Native,Hemicryptophyte
eutaxia_microphylla,Fabaceae,Native,Chamaephyte
geranium_retrorsum,Geraniaceae,Native,Hemicryptophyte
gonocarpus_tetragynus,Haloragaceae,Native,Chamaephyte
goodenia_pinnatifida,Goodeniaceae,Native,Hemicryptophyte
hackelia_suaveolens,Boraginaceae,Native,Hemicryptophyte
haloragis_heterophylla,Haloragaceae,Native,Hemicryptophyte
hypericum_gramineum,Hypericaceae,Native,Hemicryptophyte
juncus_holoschoenus,Juncaceae,Native,Hemicryptophyte
juncus_subsecundus,Juncaceae,Native,Hemicryptophyte
lachnagrostis_filiformis,Poaceae,Native,Hemicryptophyte
laphangium_luteoalbum,Asteraceae,Native,Therophyte
lepidosperma_curtisiae,Cyperaceae,Native,Hemicryptophyte
leptorhynchos_squamatus,Asteraceae,Native,Hemicryptophyte
leptorhynchos_tenuifolius,Asteraceae,Native,Hemicryptophyte
leucochrysum_albicans_subsp_tricolor,Asteraceae,Native,Hemicryptophyte
lomandra_filiformis_coriacea,Asparagaceae,Native,Hemicryptophyte
lomandra_nana,Asparagaceae,Native,Hemicryptophyte
luzula_meridionalis,Juncaceae,Native,Hemicryptophyte
lythrum_hyssopifolia,Lythraceae,Native,Hemicryptophyte
microseris_scapigera,Asteraceae,Native,Geophyte
microtis_unifolia,Orchidaceae,Native,Geophyte
oxalis_perennans,Oxalidaceae,Native,Geophyte
pentapogon_quadrifidus,Poaceae,Native,Hemicryptophyte
pimelea_curviflora,Thymelaeaceae,Native,Chamaephyte
pimelea_humilis,Thymelaeaceae,Native,Chamaephyte
plantago_gaudichaudii,Plantaginaceae,Native,Hemicryptophyte
poa_sieberiana,Poaceae,Native,Hemicryptophyte
ptilotus_erubescens,Amaranthaceae,Native,Hemicryptophyte
ptilotus_macrocephalus,Amaranthaceae,Native,Hemicryptophyte
ranunculus_robertsonii,Ranunculaceae,Native,Hemicryptophyte
rumex_brownii,Polygonaceae,Native,Hemicryptophyte
rytidosperma_caespitosum,Poaceae,Native,Hemicryptophyte
rytidosperma_carphoides,Poaceae,Native,Hemicryptophyte
rytidosperma_geniculatum,Poaceae,Native,Hemicryptophyte
rytidosperma_setaceum,Poaceae,Native,Hemicryptophyte
schoenus_apogon,Cyperaceae,Native,Hemicryptophyte
