Species	Month	status	value	flowered	life_form	family	months_flowered
Isolepis hystrix	January	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis hystrix	October	Exotic	1	1	Therophyte	Cyperaceae	October
Isolepis hystrix	November	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis hystrix	December	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	January	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	November	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	October	Exotic	2	1	Therophyte	Cyperaceae	October
Isolepis levynsiana	December	Exotic	0	0	Therophyte	Cyperaceae	October
Aira cupaniana	October	Exotic	14	1	Therophyte	Poaceae	October
Aira cupaniana	November	Exotic	0	0	Therophyte	Poaceae	October
Aira cupaniana	January	Exotic	0	0	Therophyte	Poaceae	October
Aira cupaniana	December	Exotic	0	0	Therophyte	Poaceae	October
Bulbine bulbosa	December	Native	0	0	Geophyte	Asphodelaceae	October
Bulbine bulbosa	October	Native	12	1	Geophyte	Asphodelaceae	October
Bulbine bulbosa	January	Native	0	0	Geophyte	Asphodelaceae	October
Bulbine bulbosa	November	Native	0	0	Geophyte	Asphodelaceae	October
Centrolepis strigosa	November	Native	0	0	Therophyte	Restionaceae	October
Centrolepis strigosa	October	Native	6	1	Therophyte	Restionaceae	October
Centrolepis strigosa	January	Native	0	0	Therophyte	Restionaceae	October
Centrolepis strigosa	December	Native	0	0	Therophyte	Restionaceae	October
Craspedia paludicola	November	Native	0	0	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	October	Native	2	1	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	January	Native	0	0	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	December	Native	0	0	Hemicryptophyte	Asteraceae	October
Diuris behrii	January	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	December	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	November	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	October	Native	9	1	Geophyte	Orchidaceae	October
Drosera glanduligera	January	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	December	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	November	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	October	Native	4	1	Geophyte	Droseraceae	October
Drosera hookeri	October	Native	7	1	Geophyte	Droseraceae	October
Drosera hookeri	January	Native	0	0	Geophyte	Droseraceae	October
Drosera hookeri	December	Native	0	0	Geophyte	Droseraceae	October
Drosera hookeri	November	Native	0	0	Geophyte	Droseraceae	October
Eutaxia microphylla	December	Native	0	0	Chamaephyte	Fabaceae	October
Eutaxia microphylla	November	Native	0	0	Chamaephyte	Fabaceae	October
Eutaxia microphylla	October	Native	1	1	Chamaephyte	Fabaceae	October
Eutaxia microphylla	January	Native	0	0	Chamaephyte	Fabaceae	October
Hackelia suaveolens	December	Native	0	0	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	November	Native	0	0	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	October	Native	1	1	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	January	Native	0	0	Hemicryptophyte	Boraginaceae	October
Juncus bufonius	December	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	November	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	January	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	October	Exotic	2	1	Therophyte	Juncaceae	October
Thelymitra gregaria	January	Native	0	0	Geophyte	Orchidaceae	October
