site	lifeform	month	richness_peak_flowering
BP_LOW	Chamaephyte	December	0
BP_LOW	Chamaephyte	November	1
BP_LOW	Chamaephyte	October	0
BP_LOW	Geophyte	December	1
BP_LOW	Geophyte	January	1
BP_LOW	Geophyte	November	2
BP_LOW	Geophyte	October	3
BP_LOW	Hemicryptophyte	December	2
BP_LOW	Hemicryptophyte	January	3
BP_LOW	Hemicryptophyte	November	17
BP_LOW	Hemicryptophyte	October	4
BP_LOW	Therophyte	December	2
BP_LOW	Therophyte	January	0
BP_LOW	Therophyte	November	3
BP_LOW	Therophyte	October	10
BP_UP	Chamaephyte	December	2
BP_UP	Chamaephyte	January	2
BP_UP	Chamaephyte	November	0
BP_UP	Chamaephyte	October	2
BP_UP	Geophyte	December	1
BP_UP	Geophyte	November	4
BP_UP	Geophyte	October	9
BP_UP	Hemicryptophyte	December	4
BP_UP	Hemicryptophyte	January	7
BP_UP	Hemicryptophyte	November	17
BP_UP	Hemicryptophyte	October	13
BP_UP	Therophyte	December	2
BP_UP	Therophyte	January	0
BP_UP	Therophyte	November	1
BP_UP	Therophyte	October	7
CHAT_WICK	Chamaephyte	November	0
CHAT_WICK	Chamaephyte	October	2
CHAT_WICK	Geophyte	November	0
CHAT_WICK	Geophyte	October	6
CHAT_WICK	Hemicryptophyte	December	6
CHAT_WICK	Hemicryptophyte	January	3
CHAT_WICK	Hemicryptophyte	November	12
CHAT_WICK	Hemicryptophyte	October	11
CHAT_WICK	Therophyte	November	1
CHAT_WICK	Therophyte	October	9
HEX_CHAT_LOW	Chamaephyte	December	1
HEX_CHAT_LOW	Chamaephyte	November	2
HEX_CHAT_LOW	Chamaephyte	October	3
HEX_CHAT_LOW	Geophyte	November	0
HEX_CHAT_LOW	Geophyte	October	7
HEX_CHAT_LOW	Hemicryptophyte	December	3
HEX_CHAT_LOW	Hemicryptophyte	January	4
HEX_CHAT_LOW	Hemicryptophyte	November	13
HEX_CHAT_LOW	Hemicryptophyte	October	13
HEX_CHAT_LOW	Therophyte	December	1
HEX_CHAT_LOW	Therophyte	January	0
HEX_CHAT_LOW	Therophyte	November	1
HEX_CHAT_LOW	Therophyte	October	10
HEX_CHAT_UP	Geophyte	December	1
HEX_CHAT_UP	Geophyte	November	1
HEX_CHAT_UP	Geophyte	October	6
HEX_CHAT_UP	Hemicryptophyte	December	2
HEX_CHAT_UP	Hemicryptophyte	January	3
HEX_CHAT_UP	Hemicryptophyte	November	13
HEX_CHAT_UP	Hemicryptophyte	October	7
HEX_CHAT_UP	Therophyte	December	1
HEX_CHAT_UP	Therophyte	January	0
HEX_CHAT_UP	Therophyte	November	0
HEX_CHAT_UP	Therophyte	October	12
TREE_SIDE	Geophyte	November	1
TREE_SIDE	Geophyte	October	6
TREE_SIDE	Hemicryptophyte	December	5
TREE_SIDE	Hemicryptophyte	January	3
TREE_SIDE	Hemicryptophyte	November	11
TREE_SIDE	Hemicryptophyte	October	13
TREE_SIDE	Therophyte	November	1
TREE_SIDE	Therophyte	October	9
WnD_DUnD	Chamaephyte	December	0
WnD_DUnD	Chamaephyte	November	0
WnD_DUnD	Chamaephyte	October	1
WnD_DUnD	Geophyte	December	2
WnD_DUnD	Geophyte	January	1
WnD_DUnD	Geophyte	November	3
WnD_DUnD	Geophyte	October	6
WnD_DUnD	Hemicryptophyte	December	6
WnD_DUnD	Hemicryptophyte	January	5
WnD_DUnD	Hemicryptophyte	November	18
WnD_DUnD	Hemicryptophyte	October	7
WnD_DUnD	Therophyte	December	2
WnD_DUnD	Therophyte	January	0
WnD_DUnD	Therophyte	November	5
WnD_DUnD	Therophyte	October	13
WnD_STR	Chamaephyte	November	4
WnD_STR	Chamaephyte	October	4
WnD_STR	Geophyte	November	3
WnD_STR	Geophyte	October	8
WnD_STR	Hemicryptophyte	December	8
WnD_STR	Hemicryptophyte	January	1
WnD_STR	Hemicryptophyte	November	16
WnD_STR	Hemicryptophyte	October	12
WnD_STR	Therophyte	December	3
WnD_STR	Therophyte	January	1
WnD_STR	Therophyte	November	5
WnD_STR	Therophyte	October	11
