site	status	month	richness_peak_flowering
BP_LOW	Exotic	December	3
BP_LOW	Exotic	January	0
BP_LOW	Exotic	November	7
BP_LOW	Exotic	October	10
BP_LOW	Native	December	2
BP_LOW	Native	January	4
BP_LOW	Native	November	16
BP_LOW	Native	October	7
BP_UP	Exotic	December	3
BP_UP	Exotic	January	1
BP_UP	Exotic	November	4
BP_UP	Exotic	October	10
BP_UP	Native	December	6
BP_UP	Native	January	8
BP_UP	Native	November	18
BP_UP	Native	October	21
CHAT_WICK	Exotic	December	0
CHAT_WICK	Exotic	January	1
CHAT_WICK	Exotic	November	3
CHAT_WICK	Exotic	October	11
CHAT_WICK	Native	December	6
CHAT_WICK	Native	January	2
CHAT_WICK	Native	November	10
CHAT_WICK	Native	October	17
HEX_CHAT_LOW	Exotic	December	1
HEX_CHAT_LOW	Exotic	January	1
HEX_CHAT_LOW	Exotic	November	3
HEX_CHAT_LOW	Exotic	October	13
HEX_CHAT_LOW	Native	December	4
HEX_CHAT_LOW	Native	January	3
HEX_CHAT_LOW	Native	November	13
HEX_CHAT_LOW	Native	October	20
HEX_CHAT_UP	Exotic	December	1
HEX_CHAT_UP	Exotic	January	1
HEX_CHAT_UP	Exotic	November	4
HEX_CHAT_UP	Exotic	October	16
HEX_CHAT_UP	Native	December	3
HEX_CHAT_UP	Native	January	2
HEX_CHAT_UP	Native	November	10
HEX_CHAT_UP	Native	October	9
TREE_SIDE	Exotic	December	1
TREE_SIDE	Exotic	January	1
TREE_SIDE	Exotic	November	1
TREE_SIDE	Exotic	October	12
TREE_SIDE	Native	December	4
TREE_SIDE	Native	January	2
TREE_SIDE	Native	November	12
TREE_SIDE	Native	October	16
WnD_DUnD	Exotic	December	3
WnD_DUnD	Exotic	January	2
WnD_DUnD	Exotic	November	7
WnD_DUnD	Exotic	October	13
WnD_DUnD	Native	December	7
WnD_DUnD	Native	January	4
WnD_DUnD	Native	November	19
WnD_DUnD	Native	October	14
WnD_STR	Exotic	December	4
WnD_STR	Exotic	January	1
WnD_STR	Exotic	November	7
WnD_STR	Exotic	October	12
WnD_STR	Native	December	7
WnD_STR	Native	January	1
WnD_STR	Native	November	21
WnD_STR	Native	October	23
